dataset,condition,layer,relative_depth,mean,sem,count,metric
Baseline 200,7B 40Pred untrained,25,0.2604166666666667,0.0562764913885774,0.029261909099442,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,26,0.2708333333333333,0.0557445432042577,0.0302225741753559,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,27,0.28125,0.0492679795909671,0.0308008798551446,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,28,0.2916666666666667,0.0541882210249115,0.0309285682609491,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,29,0.3020833333333333,0.0555763482117103,0.0317982930580598,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,30,0.3125,0.0539939832181994,0.0323872579030586,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,31,0.3229166666666667,0.0546353592000179,0.0327971026183409,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,32,0.3333333333333333,0.0550437088323612,0.0336333822451844,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,33,0.34375,0.0531842101663871,0.0324631014428387,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,34,0.3541666666666667,0.0512447527219152,0.0333499425231952,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,35,0.3645833333333333,0.0520026304798778,0.0330376632150092,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,36,0.375,0.0475156932469654,0.0315536550183272,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,37,0.3854166666666667,0.0472708882449347,0.031537967301165,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,38,0.3958333333333333,0.04449279954177,0.0313517330214027,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,39,0.40625,0.0480545288351269,0.0316174857405188,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,40,0.4166666666666667,0.0468314893942046,0.0316083245719874,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,41,0.4270833333333333,0.0484168287883482,0.0319960370090021,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,42,0.4375,0.0494599665760407,0.0313757225978217,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,43,0.4479166666666667,0.0521009932754372,0.0317618713226518,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,44,0.4583333333333333,0.0494143978602521,0.0311010658426276,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,45,0.46875,0.0513259851210084,0.0317635921045086,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,46,0.4791666666666667,0.0529737060231814,0.0314426180896078,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,47,0.4895833333333333,0.0529742119714856,0.0319156713499331,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,48,0.5,0.0497235388757095,0.0322776488170764,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,49,0.5104166666666666,0.0493328461912039,0.0322173928612754,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,50,0.5208333333333334,0.0518692198317569,0.0318359516371095,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,51,0.53125,0.0513663136286035,0.032116561415155,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,52,0.5416666666666666,0.0536784160070626,0.032326189276246,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,53,0.5520833333333334,0.0554546890648387,0.0320268788424343,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,54,0.5625,0.0529385422465501,0.0324855840244408,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,55,0.5729166666666666,0.0496068684889662,0.0325988879081059,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,56,0.5833333333333334,0.0501092811545858,0.0329225282521184,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,57,0.59375,0.0518190535065141,0.0332523994785212,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,58,0.6041666666666666,0.050349077624112,0.0327223593813241,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,59,0.6145833333333334,0.0489200408087124,0.0330857641785323,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,60,0.625,0.0479061539509526,0.032273156388691,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,61,0.6354166666666666,0.0478805630309987,0.0325536131821059,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,62,0.6458333333333334,0.0480981595853323,0.0327669233701495,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,63,0.65625,0.0477721819282,0.0324304918601477,8,mean participant-level r_cv_norm in language fROIs
Baseline 200,7B 40Pred untrained,64,0.6666666666666666,0.0476933889010987,0.0321742861788324,8,mean participant-level r_cv_norm in language fROIs
